stage,n_points,n_fragments,z_min,z_q05,z_median,z_q95,z_max,median_fragment_retained_ratio,q10_fragment_retained_ratio
full sampled surface,42019,150,-0.06811818480491638,0.02296093851327896,0.24585799872875214,0.7040631771087646,1.0594406127929688,1.0,1.0
viewpoint visible only,29970,150,-0.0659995749592781,0.030485303327441215,0.2850082367658615,0.7375780433416366,1.0594406127929688,0.7246013133208256,0.5817325657728627
old top-only envelope,8945,146,-0.002602187218144536,0.09957196861505509,0.31270378828048706,0.7949355602264403,1.0594406127929688,0.2101782175473607,0.09372459349593495
new preserve-side envelope,17693,150,-0.0659995749592781,0.03459817692637444,0.27590352296829224,0.7774148225784295,1.0594406127929688,0.43118686868686873,0.27025602409638555
