method,setting,n_scenes,bias_P80_error_pct,mean_abs_P80_error_pct,std_abs_P80_error_pct,median_abs_P80_error_pct,max_abs_P80_error_pct,mean_abs_P80_error_mm,mean_NMI,mean_ARI,mean_noise_fraction,mean_predicted_clusters,selection_score
MLP affinity,threshold=0.999,20,-4.140976370475796,11.680990798322373,10.042281156427292,7.356432916436697,30.88407086013231,29.715392577458385,0.13552869462307712,-0.015598349226210163,0.8854805776831464,16.05,20.53579657515384
DBSCAN,"eps=0.025,min=6,zw=1.35",20,8.24993642233624,17.84994288777647,13.918297292392444,15.158274547505211,53.94732614356042,47.069624108928835,0.5335613226060735,0.039539450194289116,0.45502850148443674,228.0,22.400227902620838
Graph threshold,"d=0.050,z=0.060,c=0.050,thr=0.85",20,-3.7921745452673883,11.781345331942502,10.096750430356579,10.258194275804037,34.08408347581581,30.269208388606124,0.36951058168925494,-0.014231665955477295,0.6628068908880026,87.95,18.409414240822528
Region growing,"r=0.035,a=0.100,c=0.035,z=0.035",20,122.42773311467666,122.42773311467666,46.02141422222378,112.94311168764197,237.55047304033195,318.62496576166666,0.8615190123591073,0.7078055405279082,0.08664054213713634,75.95,123.29413853604802
