epoch,train_loss,val_average_precision,val_roc_auc
1,0.5308183113733927,0.9051078872072328,0.8979686915394348
2,0.40484106292327243,0.9268507029043981,0.918426871358342
3,0.3851776321729024,0.9276544445568974,0.9187947597323326
4,0.37338083386421206,0.9362303324308366,0.9282261079612035
5,0.36332063178221385,0.9391858802521997,0.9310245532529455
6,0.35259405622879664,0.9398911050001356,0.932256660770622
7,0.33955602993567785,0.9449671949061366,0.9371210063146389
8,0.33026689340670906,0.9441790857358056,0.9371703270535144
9,0.31882632821798323,0.9477899264928508,0.9407971603182044
10,0.31071047534545265,0.9470217358213758,0.939990740835221
11,0.30956905136505763,0.9534446913789815,0.9465849997806304
12,0.30314866999785106,0.9527899820343105,0.9463374609448544
13,0.29296621183554333,0.9548586409906714,0.9486939506888862
14,0.28630779062708217,0.9553416445727531,0.949465666348929
15,0.28324182877937953,0.9550105191647678,0.949043784094025
16,0.2777361417810122,0.9576615162745834,0.9520225859456132
17,0.27220705623428026,0.9586009853446159,0.9528260840432242
18,0.2673422192533811,0.9586089356993982,0.9532458168560574
19,0.2660630998512109,0.9567842101385099,0.951242581356055
20,0.2607800098756949,0.9615960650280795,0.9559548203334739
21,0.2613954501847426,0.9586641344514734,0.9533607408158291
22,0.25655955672264097,0.9614923045090616,0.956290213539913
23,0.2525165687004725,0.9617316659210907,0.9565105091876993
24,0.2462588779628277,0.9618933012548679,0.9571359212935867
